Name;Author;GITHUB Link;MEGA Link;Publication Year;SYNC Link;Topics;Type;cover page
Androgenicity In Vitamins;A. Sharaf, N. Gomaa;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20Sharaf/1970%20-%20A.%20Sharaf%3B%20N.%20Gomaa%20-%20Androgenicity%20In%20Vitamins.pdf;https://mega.nz/file/515zFTiK#CCHr7ZBgVwfceWtQztjsPzY_UDQnIZGcDbSbgfO1xV4;1970;;;Article;img/cover page/A. Sharaf/1970 - Androgenicity In Vitamins.webp
Problems Of The Biochemistry Of The Nervous System;A. V. Palladin;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20V.%20Palladin/1964%20-%20A.%20V.%20Palladin%20-%20Problems%20Of%20The%20Biochemistry%20Of%20The%20Nervous%20System.pdf;https://mega.nz/file/h4oQgYCQ#4sJiGHWmQzwsa0g-oA39ahdfgGx-JnveXPWngfx0kzI;1964;;;Book;img/cover page/A. V. Palladin/1964 - Problems Of The Biochemistry Of The Nervous System.webp
Motivation And Personality;Abraham Harold Maslow;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abraham%20Harold%20Maslow/1954%20-%20Abraham%20Harold%20Maslow%20-%20Motivation%20And%20Personality.pdf;https://mega.nz/file/owY3Eb7S#cGweZ9TBEEijfVWN7DEmJ8ZGOKzFvOeOChw6EyPKrQQ;1954;;;Book;img/cover page/Abraham Harold Maslow/1954 - Motivation And Personality.webp
The Farther Reaches Of Human Nature;Abraham Harold Maslow;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abraham%20Harold%20Maslow/1971%20-%20Abraham%20Harold%20Maslow%20-%20The%20Farther%20Reaches%20Of%20Human%20Nature.pdf;https://mega.nz/file/lkYQ1ACY#B8EKMQT5TAb7PZ8CatWYfD1YjOvNc5LjGH4uGNf9aok;1971;;;Book;img/cover page/Abraham Harold Maslow/1971 - The Farther Reaches Of Human Nature.webp
Symposium On Steroids In Experimental And Clinical Practice;Abraham White;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abraham%20White/1951%20-%20Abraham%20White%20-%20Symposium%20On%20Steroids%20In%20Experimental%20And%20Clinical%20Practice.pdf;https://mega.nz/file/NlZSCC7D#M6Ll2lrkQhg5l0-Xe0LsCPOhg2vht5PcrNMU8WlmU-o;1951;;;Book;img/cover page/Abraham White/1951 - Symposium On Steroids In Experimental And Clinical Practice.webp
How To Live With Schizophrenia;Abram Hoffer;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abram%20Hoffer/1966%20-%20Abram%20Hoffer%20-%20How%20To%20Live%20With%20Schizophrenia.pdf;https://mega.nz/file/pxxRmJzT#6yMp5fiHRvkDEV2ePwsO8jaKquRsOiCecO9pd_60Hmk;1966;;;Book;img/cover page/Abram Hoffer/1966 - How To Live With Schizophrenia.webp
Orthomolecular Medicine For Everyone, Megavitamin Therapeutics For Families And Physicians;Abram Hoffer;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abram%20Hoffer/2008%20-%20Abram%20Hoffer%20-%20Orthomolecular%20Medicine%20For%20Everyone%2C%20Megavitamin%20Therapeutics%20For%20Families%20And%20Physicians.pdf;https://mega.nz/file/Z15jzIQI#CUrywJWf0pRPD8nlNewKwsWKFddZDi2uQ3M6bakq5fk;2008;;;Book;img/cover page/Abram Hoffer/2008 - Orthomolecular Medicine For Everyone, Megavitamin Therapeutics For Families And Physicians.webp
The Chemical Basis Of Clinical Psychiatry;Abram Hoffer, Humphrey Osmond;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abram%20Hoffer/1960%20-%20Abram%20Hoffer%3B%20Humphrey%20Osmond%20-%20The%20Chemical%20Basis%20Of%20Clinical%20Psychiatry.pdf;https://mega.nz/file/c4RlyASS#Extpx6OnBKEr-z06j3p7QFOch9ULdCaGTt7PZg7kfGs;1960;;;Book;img/cover page/Abram Hoffer/1960 - The Chemical Basis Of Clinical Psychiatry.webp
The Hallucinogens;Abram Hoffer, Humphry Fortescue Osmond;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abram%20Hoffer/1967%20-%20Abram%20Hoffer%3B%20Humphry%20Fortescue%20Osmond%20-%20The%20Hallucinogens.pdf;https://mega.nz/file/lg4URJYB#hrfwOuwlpEcQWgwvSSpGwo8SMngK8cr3OBEWU_QxG-c;1967;;;Book;img/cover page/Abram Hoffer/1967 - The Hallucinogens.webp
Orthomolecular Nutrition, New Lifestyle For Super Good Health;Abram Hoffer, Morton Walker;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abram%20Hoffer/1978%20-%20Abram%20Hoffer%3B%20Morton%20Walker%20-%20Orthomolecular%20Nutrition%2C%20New%20Lifestyle%20For%20Super%20Good%20Health.pdf;https://mega.nz/file/IgoQTYIR#QH3-WKcik9a4A8x6nuk24R7q9v0psyiMgrQUtDVfca0;1978;;;Book;img/cover page/Abram Hoffer/1978 - Orthomolecular Nutrition, New Lifestyle For Super Good Health.webp
Nutrients To Age Without Senility;Abram Hoffer, Morton Walker;https://raw.githubusercontent.com/peatysharing/bibliography/main/Abram%20Hoffer/1980%20-%20Abram%20Hoffer%3B%20Morton%20Walker%20-%20Nutrients%20To%20Age%20Without%20Senility.pdf;https://mega.nz/file/o9pmhbYL#LRQrIJx26FWXAeK8KP9ibXF_gcNhzMNVnxqkrNkG9xs;1980;;;Book;img/cover page/Abram Hoffer/1980 - Nutrients To Age Without Senility.webp
Optimum Health;Adelle Davis;https://raw.githubusercontent.com/peatysharing/bibliography/main/Adelle%20Davis/1935%20-%20Adelle%20Davis%20-%20Optimum%20Health.pdf;https://mega.nz/file/I0YEhAwZ#ZnN4MDiaZqRx50Hj7baz6-7_Fg7FVgVuY75568gfwjA;1935;;;Book;img/cover page/Adelle Davis/1935 - Optimum Health.webp
Let's Cook It Right;Adelle Davis;https://raw.githubusercontent.com/peatysharing/bibliography/main/Adelle%20Davis/1947%20-%20Adelle%20Davis%20-%20Let%27s%20Cook%20It%20Right.pdf;https://mega.nz/file/dhAkUC5J#xc_kpJcfofXQu4V7eXQQ4FEavfO1iogQysW3cxV1C_k;1947;;;Book;img/cover page/Adelle Davis/1947 - Let's Cook It Right.webp
Vitality Through Planned Nutrition;Adelle Davis;https://raw.githubusercontent.com/peatysharing/bibliography/main/Adelle%20Davis/1949%20-%20Adelle%20Davis%20-%20Vitality%20Through%20Planned%20Nutrition.pdf;https://mega.nz/file/08JmyYDB#N30eio91JnhLl2wFk3Cx1pLWlfFsJjcYDYunXSby8zs;1949;;;Book;img/cover page/Adelle Davis/1949 - Vitality Through Planned Nutrition.webp
Let's Eat Right To Keep Fit;Adelle Davis;https://raw.githubusercontent.com/peatysharing/bibliography/main/Adelle%20Davis/1954%20-%20Adelle%20Davis%20-%20Let%27s%20Eat%20Right%20To%20Keep%20Fit.pdf;https://mega.nz/file/EtpyXZZK#dVFb84cAu5c9j9xVVuEu91T-jYoDmJjKeXMJgTXOQ0M;1954;;;;img/cover page/Adelle Davis/1954 - Let's Eat Right To Keep Fit.webp
Let's Have Healthy Children;Adelle Davis;https://raw.githubusercontent.com/peatysharing/bibliography/main/Adelle%20Davis/1959%20-%20Adelle%20Davis%20-%20Let%27s%20Have%20Healthy%20Children.pdf;https://mega.nz/file/x1RDkDhJ#bgb31Qplb2Y5POGNa9xoGQjEn9wh_debwhVSVLuNOQs;1959;;;Book;img/cover page/Adelle Davis/1959 - Let's Have Healthy Children.webp
Let's Get Well;Adelle Davis;https://raw.githubusercontent.com/peatysharing/bibliography/main/Adelle%20Davis/1965%20-%20Adelle%20Davis%20-%20Let%27s%20Get%20Well.pdf;https://mega.nz/file/llwh2JbZ#kTMYDdsrlQu4ivD0pmBZavL4Eoo2l4Jf7YtiK7IjZfQ;1965;;;Book;img/cover page/Adelle Davis/1965 - Let's Get Well.webp
Science in the USSR (Part 1);Akademiia nauk SSSR;https://raw.githubusercontent.com/peatysharing/bibliography/main/Multiple%20Researchers/1973%20-%20Akademiia%20nauk%20SSSR%20-%20Science%20in%20the%20USSR%20%28Part%201%29.pdf;https://mega.nz/file/s4pDRQhA#GWojjQdIGK97hPivUn3TrLG7jHEPXbp7rPKn8GbbXwk;1973;;;;img/cover page/Multiple Researchers/1973 - Science in the USSR.webp
Science in the USSR (Part 2);Akademiia nauk SSSR;https://raw.githubusercontent.com/peatysharing/bibliography/main/Multiple%20Researchers/1973%20-%20Akademiia%20nauk%20SSSR%20-%20Science%20in%20the%20USSR%20%28Part%202%29.pdf;https://mega.nz/file/s4pDRQhA#GWojjQdIGK97hPivUn3TrLG7jHEPXbp7rPKn8GbbXwk;1973;;;;img/cover page/Multiple Researchers/1973 - Science in the USSR.webp
Vitamin E;Albert B. Vogelsang, Wilfred E. Whute, Evan Shute;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20B.%20Vogelsang/1948%20-%20Albert%20B.%20Vogelsang%3B%20Wilfred%20E.%20Whute%3B%20Evan%20Shute%20-%20Vitamin%20E.pdf;https://mega.nz/file/MpQFnBLZ#OHUARLIEEz2VGjx5-dVp2eHh7cFlGWR50RW-HTPP2fM;1948;;;;img/cover page/Albert B. Vogelsang/1948 - Vitamin E.webp
Concerning An Heuristic Point Of View Toward The Emission And Transformation Of Light;Albert Einstein;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Einstein/1965%20-%20Albert%20Einstein%20-%20Concerning%20An%20Heuristic%20Point%20Of%20View%20Toward%20The%20Emission%20And%20Transformation%20Of%20Light.pdf;https://mega.nz/file/ckZmABKa#pI2xYKCiUxVYz791MEfBHwuQ8F5JDe4YLb7QhWTBZCo;1965;;;Article;img/cover page/Albert Einstein/1965 - Concerning An Heuristic Point Of View Toward The Emission And Transformation Of Light.webp
Role Of Sugars In Human Neutrophilic Phagocytosis;Albert Sanchez, J. L. Reeser, H. S. Lau, P. Y. Yahiku, R.e. Willard, P. J. Mcmillan, S. Y. Cho, A. R. Magie, U. D. Register;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Sanchez/1973%20-%20Albert%20Sanchez%3B%20J.%20L.%20Reeser%3B%20H.%20S.%20Lau%3B%20P.%20Y.%20Yahiku%3B%20R.e.%20Willard%3B%20P.%20J.%20Mcmillan%3B%20S.%20Y.%20Cho%3B%20A.%20R.%20Magie%3B%20U.%20D.%20Register%20-%20Role%20Of%20Sugars%20In%20Human%20Neutrophilic%20Phagocytosis.pdf;https://mega.nz/file/A0RmBYBI#KQwStj69L-RYv5iKQTn7UQTRSrf-xz1QY2qEkYYa9bQ;1973;;;Article;img/cover page/Albert Sanchez/1973 - Role Of Sugars In Human Neutrophilic Phagocytosis.webp
Out Of My Life And Thought - An Autobiography;Albert Schweitzer, Antje Bultmann Lemke;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Schweitzer/1998%20-%20Albert%20Schweitzer%2C%20Antje%20Bultmann%20Lemke%20-%20Out%20Of%20My%20Life%20And%20Thought%20-%20An%20Autobiography.pdf;https://mega.nz/file/Q0hR1DzT#8MB9SHhuaAicqJELyw2jbHx_AbTRILihvcaDzCAZ_Mk;1998;https://ln5.sync.com/dl/0a5f48db0/e9e3fktc-i2udntnp-3fxj4zk4-8qqzw9am;Philosophy;Book;img/cover page/Albert Schweitzer/1998 - Out Of My Life And Thought - An Autobiography.webp
Horizons In Biochemistry;Albert Szent-Gyorgi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1962%20-%20Albert%20Szent-Gyorgi%20-%20Horizons%20In%20Biochemistry.pdf;https://mega.nz/file/I1ogXS5B#ftrCHhoAjR9WN_L2_UlxHA4succk_AZibMxa2ADSf9k;1962;https://ln5.sync.com/dl/3631c1be0/nztp35ba-uemfd6py-hiww56dz-7rpiwbvr;Biochemistry;Book;img/cover page/Albert Szent-Gyorgyi/1962 - Horizons In Biochemistry.webp
On the Function of Hexuronic Acid in the Respiration of the Cabbage Leaf;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1931%20-%20Albert%20Szent-Gyorgyi%20-%20On%20the%20Function%20of%20Hexuronic%20Acid%20in%20the%20Respiration%20of%20the%20Cabbage%20Leaf%20.pdf;https://mega.nz/file/8hhmnAzY#FAsLKdAR9RSZBfq7BtWFQ3RjM8yGsgKeI4RqDgf9cf4;1931;;;;img/cover page/Albert Szent-Gyorgyi/1931 - On the Function of Hexuronic Acid in the Respiration of the Cabbage Leaf.webp
On Oxidation, Fermentation, Vitamins, Health and Disease;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1939%20-%20Albert%20Szent-Gyorgyi%20-%20On%20Oxidation%2C%20Fermentation%2C%20Vitamins%2C%20Health%20and%20Disease.pdf;https://mega.nz/file/ZsJnAKib#VnytFotS7AdRDFjo-ndWL-WAtlFpxW3tRv2kNWoNQ3o;1939;;;;img/cover page/Albert Szent-Gyorgyi/1939 - On Oxidation, Fermentation, Vitamins, Health and Disease.webp
Chemistry Of Muscular Contraction;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1947%20-%20Albert%20Szent-Gyorgyi%20-%20Chemistry%20Of%20Muscular%20Contraction.pdf;https://mega.nz/file/dxpHRZBY#GyInF-LISxJdH6ViytnDQ2gIVJa6MT-yTJerJMGYeWY;1947;;;Book;img/cover page/Albert Szent-Gyorgyi/1947 - Chemistry Of Muscular Contraction.webp
Nature Of Life, A Study On Muscle;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1948%20-%20Albert%20Szent-Gyorgyi%20-%20Nature%20Of%20Life%2C%20A%20Study%20On%20Muscle.pdf;https://mega.nz/file/8hQAGKgD#uXLdZSl5YdnXclF9dawZFH5MMcmxhVmYZWG_ZMlcek4;1948;;;Book;img/cover page/Albert Szent-Gyorgyi/1948 - Nature Of Life, A Study On Muscle.webp
Bioenergetics;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1957%20-%20Albert%20Szent-Gyorgyi%20-%20Bioenergetics.pdf;https://mega.nz/file/4sgCnCyD#NlP3SDi4J3RxEfJMatPIR0uoLdpeCGKeo7TTgWYN3NI;1957;https://ln5.sync.com/dl/c2c2b1490/a92zne24-sk9xhe5s-rgbmitrx-gj6wqw4p;Biochemistry;Book;img/cover page/Albert Szent-Gyorgyi/1957 - Bioenergetics.webp
Introduction To A Submolecular Biology;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1960%20-%20Albert%20Szent-Gyorgyi%20-%20Introduction%20To%20A%20Submolecular%20Biology.pdf;https://mega.nz/file/t4gTQJzL#QohIljD49IiZpxebMUMGI3cbLoc9VQVdDf6rJ6QKpZ4;1960;https://ln5.sync.com/dl/3c1985a30/qiiutsbf-8fvmdwtf-w5aenwmh-ecuv4nzi;Biology;Book;img/cover page/Albert Szent-Gyorgyi/1960 - Introduction To A Submolecular Biology.webp
Science, Ethics And Politics;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1963%20-%20Albert%20Szent-Gyorgyi%20-%20Science%2C%20Ethics%20And%20Politics.pdf;https://mega.nz/file/swZz3bgb#F86Cwl_QZVTFLmPCArU3wr2iK4_Csu2eD6YHHiFqLT4;1963;;;Book;img/cover page/Albert Szent-Gyorgyi/1963 - Science, Ethics And Politics.webp
Bioelectronics. A Study In Cellular Regulations, Defense, And Cancer;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1968%20-%20Albert%20Szent-Gyorgyi%20-%20Bioelectronics.%20A%20Study%20In%20Cellular%20Regulations%2C%20Defense%2C%20And%20Cancer.pdf;https://mega.nz/file/t5pBgK7T#GBcSmr0UCwYNpxiMLe6ob9rCcXCVIVtNMCsnaHdOGfU;1968;;;;img/cover page/Albert Szent-Gyorgyi/1968 - Bioelectronics. A Study In Cellular Regulations, Defense, And Cancer.webp
The Crazy Ape;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1970%20-%20Albert%20Szent-Gyorgyi%20-%20The%20Crazy%20Ape.pdf;https://mega.nz/file/98Q3WKhZ#jcVLGJakaajF-CjQnoZkqjViWRu_r7VuqGf2FcFKrW8;1970;https://ln5.sync.com/dl/ce2df4950/cez4y7ge-jznjserz-jmjs38wx-8y5zy3v7;Philosophy;Book;img/cover page/Albert Szent-Gyorgyi/1970 - The Crazy Ape.webp
What Next !;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1971%20-%20Albert%20Szent-Gyorgyi%20-%20What%20Next%20%21.pdf;https://mega.nz/file/x4B31ZSb#-DHd1ZsxeBDkk73h8NH9Ynr8o7HTjPAtDoUeoqrBwNA;1971;;;;img/cover page/Albert Szent-Gyorgyi/1971 - What Next !.webp
The Living State. With Observations On Cancer;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1972%20-%20Albert%20Szent-Gyorgyi%20-%20The%20Living%20State.%20With%20Observations%20On%20Cancer.pdf;https://mega.nz/file/htQAVKCR#XyvoqNgA4W-wxU6p_jlXZtww6Wz10YBIYIegJ-GLLEY;1972;;;;img/cover page/Albert Szent-Gyorgyi/1972 - The Living State. With Observations On Cancer.webp
Electronic Biology And Cancer, A New Theory Of Cancer;Albert Szent-Gyorgyi;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1976%20-%20Albert%20Szent-Gyorgyi%20-%20Electronic%20Biology%20And%20Cancer%2C%20A%20New%20Theory%20Of%20Cancer.pdf;https://mega.nz/file/xt5hDAhI#GfQy3mFOTxYUd-UVvmeOnPXdB3I1kykvcgqT6xnnJZo;1976;;;Book;img/cover page/Albert Szent-Gyorgyi/1976 - Electronic Biology And Cancer, A New Theory Of Cancer.webp
The Chemical Nature of Vitamin C;Albert Szent-Gyorgyi, Joseph Louis Svirbely;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1932%20-%20Albert%20Szent-Gyorgyi%3B%20Joseph%20Louis%20Svirbely%20-%20The%20Chemical%20Nature%20of%20Vitamin%20C.pdf;https://mega.nz/file/d0Jx1Z7Z#imXoKbWsSqlHT_42EnT1BT0e6kw_8wn_AY-LWNnVarM;1932;;;;img/cover page/Albert Szent-Gyorgyi/1932 - The Chemical Nature of Vitamin C.webp
The Chemical Nature of Vitamin C;Albert Szent-Gyorgyi, Joseph Louis Svirbely;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1933%20-%20Albert%20Szent-Gyorgyi%3B%20Joseph%20Louis%20Svirbely%20-%20The%20Chemical%20Nature%20of%20Vitamin%20C.pdf;https://mega.nz/file/x9BARZYK#oHkEZzbAcwm0cWOF40ogFkIX9fANz9kVK4ws-vJtONM;1933;;;;img/cover page/Albert Szent-Gyorgyi/1933 - The Chemical Nature of Vitamin C.webp
Action Of Digitalis Glucosides On Isolated Frog Heart;Albert Szent-Gyorgyi, S. Hajdu;https://raw.githubusercontent.com/peatysharing/bibliography/main/Albert%20Szent-Gyorgyi/1951%20-%20Albert%20Szent-Gyorgyi%3B%20S.%20Hajdu%20-%20Action%20Of%20Digitalis%20Glucosides%20On%20Isolated%20Frog%20Heart.pdf;https://mega.nz/file/EwwXURoD#IWz0Xv6IjX6Lr4Csu4xdelYndztoKGfazOGq2xy4tKI;1951;;;Article;img/cover page/Albert Szent-Gyorgyi/1951 - Action Of Digitalis Glucosides On Isolated Frog Heart.webp
Steroid Hormones And Tumors, Tumorigenic And Antitumorigenic Actions Of Steroid Hormones And The Steroid Homeostatis;Alejandro Lipschutz;https://raw.githubusercontent.com/peatysharing/bibliography/main/Alejandro%20Lipschutz/1950%20-%20Alejandro%20Lipschutz%20-%20Steroid%20Hormones%20And%20Tumors%2C%20Tumorigenic%20And%20Antitumorigenic%20Actions%20Of%20Steroid%20Hormones%20And%20The%20Steroid%20Homeostatis.pdf;https://mega.nz/file/51YXkDAa#XMCQceTmMw4kNzjUUTvxxGXj-d84prNcujRc9rDDP_k;1950;;;Book;img/cover page/Alejandro Lipschutz/1950 - Steroid Hormones And Tumors, Tumorigenic And Antitumorigenic Actions Of Steroid Hormones And The Steroid Homeostatis.webp
L'Analyse Mitogénétique Spectrale;Alexander Ivanovich Oparin;https://raw.githubusercontent.com/peatysharing/bibliography/main/Alexander%20Ivanovich%20Oparin/1934%20-%20Alexander%20Ivanovich%20Oparin%20-%20L%27Analyse%20Mitog%C3%A9n%C3%A9tique%20Spectrale.pdf;https://mega.nz/file/Y8xlHTwT#HmzTO0OdBDb8O62VfNUXCTGrKXiySBaBUxjJd5BHKks;1934;;;Book;img/cover page/Alexander Ivanovich Oparin/1934 - L'Analyse Mitogénétique Spectrale.webp
The Origin Of Life;Alexander Ivanovich Oparin;https://raw.githubusercontent.com/peatysharing/bibliography/main/Alexander%20Ivanovich%20Oparin/1955%20-%20Alexander%20Ivanovich%20Oparin%20-%20The%20Origin%20Of%20Life.pdf;https://mega.nz/file/V9ZhwTpB#D_Y_-NPSsST-txKwFZfQopXey53fScLzI1jT9Yg2Hpg;1955;;;Book;img/cover page/Alexander Ivanovich Oparin/1955 - The Origin Of Life.webp
Science In Russian Culture;Alexander Vucinich;https://raw.githubusercontent.com/peatysharing/bibliography/main/Alexander%20Vucinich/1963%20-%20Alexander%20Vucinich%20-%20Science%20In%20Russian%20Culture.pdf;https://mega.nz/file/BgBlGCTT#_iQFkMOyp8K-3_lZHonzq1McJutPK8niYjHmgBxEZXA;1963;;;Book;img/cover page/Alexander Vucinich/1963 - Science In Russian Culture.webp
